state,biden_votes,trump_votes
Delaware,296268,200603
District of Columbia,317323,18586
Florida,5297045,5668731
Georgia,2473633,2461854
Hawaii,366130,196864
Idaho,287021,554119
Illinois,4253153,2823926
Indiana,1242495,1729852
Iowa,759061,897672
Kansas,558669,758100
Kentucky,772474,1326646
Louisiana,856034,1255776
Maine,430473,359899
Maryland,1985023,976414
Massachusetts,2382202,1167202
Michigan,2804040,2649852
Minnesota,1717077,1484065
Mississippi,539398,756764
Missouri,1253014,1718736
Montana,244786,343602
Nebraska,374583,556846
Nevada,703486,669890
New Hampshire,424921,365654
New Jersey,2608335,1883274
New Mexico,501614,401894
New York,5244006,3250230
North Carolina,2684292,2758773
North Dakota,114902,235595
Ohio,2679165,3154834
Oklahoma,503890,1020280
Oregon,1340383,958448
Pennsylvania,3459923,3378263
Rhode Island,306210,199837
South Carolina,1091541,1385103
South Dakota,150471,261043
Tennessee,1143913,1852948
Texas,5259126,5890347
Utah,560282,865140
Vermont,242820,112704
Virginia,2413568,1962430
Washington,2369612,1584651
West Virginia,235984,545382
Wisconsin,1630673,1610065
Wyoming,73491,193559
Alabama,849648,1441168
Alaska,153405,189892
Arkansas,423932,760647
California,11109764,6005961
Colorado,1804352,1364607
Connecticut,1080680,715291
Arizona,1672143,1661686
